Alloy Designation,Mg (wt%),Zn(wt%),Al(wt%),Ca(wt%),Sr(wt%),Zr(wt%),Li(wt%),Y(wt%),,Holding Temperature,Holding Time,,Working Type,Working Temperature,% Deformation,,Matrix Phase,Matrix Grain Size,% Matrix Phase,Precipitate Phase,Precipitate Size,% Precipitate,,Hardness  (HV) ,Elastic modulus  (GPa) ,YS  (MPa) ,UTS  (MPa) ,%Elongation,,Rs (Ω),Rp (Ω),Icorr (μA/cm^2),Ecorr (V),CR (mm/y) ,Solution Name,Reference,Data Entered by
ZK60,,6,,,,0.45,,,,,,,,,,,,,,,,,,,39,212.77,228,,,,,0.088,,,,,
ZK60,,6,,,,,,,,,,,,,,,,,,,,,,,46,300,330,,,,,,,,,,
AZ91,,0.6,9,,,,,,,,,,,,,,,,,,,,,,37.5,123.2,130,,,,,2.3,-1.43,,0,,
AZ91,,0.6,9,,,,,,,,,,,,,,,,,,,,,,40,264.3,,,,,,,,3.2,,,
Mg/1Ca ,,,,1,,,,,,,,,,,,,,,,,,,,,,147.78,217.28,,,,,15.82,-1.65,,,,
Mg/MgO/MgZn ,,,,,,,,,,,,,,,,,,,,,,,,,,,131.8,,,,,95.02,-1.475,,0,,
Mg/10HA ,,,,,,,,,,,,,,,,,,,,,,,,,,117.3,171.6,,,,,60.02,-1.604,1.43,0,,
 pure Mg ,,,,,,,,,,,,,,,,,,,,,,,,,,107.2,197.1,,,,,51.34,-1.8,,,,
ZK30-10BG ,,3,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mg/5.6 Ti ,,,,,,,,,,,,,,,,,,,,,,,,,,163,248,,,,,,,,,,
RS45 Mg-3Ca,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,-1.516,0.39,0,,
RS Mg-20Zn-1Ca,,20,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,-1.54,,,,
BP-ECAP AZ31,,1,3,,,,,,,,,,,,,,,,,,,,,,,290,430,31,,,,25.37,,,,,
SC ZA31,,3,1,,,,,,,,,,,,,,,,,,,,,,,50,170,10,,,,,,,1,,
HR ZA31,,3,1,,,,,,,,,,,,,,,,,,,,,,,175,277,21,,,,,,,1,,
ECAP AZ31,,1,3,,,,,,,,,,,,,,,,,,,,,,,115,251,27,,,,,,,1,,
RE-2-RS Mg-6Zn-1Y-0.6Ce-0.6Zr,,6,,,,0.6,,1,,,,,,,,,,,,,,,,,,117,340,20,,,,,,,,,
CEC Mg-2.73Nd-0.16Zn-0.45Zr ,,0.16,,,,0.45,,,,,,,,,,,,,,,,,,,,270,300,30,,,,3.31,,1.25,1,,
99.8 wt.% (CP-Mg) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,-1.43,,,,
